System,Version,Code,Display
http://loinc.org,2.70,11054-4,Cholesterol in LDL/Cholesterol in HDL [Mass Ratio] in Serum or Plasma
http://loinc.org,2.70,12771-2,Cholesterol in HDL [Presence] in Serum or Plasma by Electrophoresis
http://loinc.org,2.70,12772-0,Cholesterol in HDL [Units/volume] in Serum or Plasma by Electrophoresis
http://loinc.org,2.70,14646-4,Cholesterol in HDL [Moles/volume] in Serum or Plasma
http://loinc.org,2.70,16616-5,Cholesterol in HDL/Cholesterol in LDL [Mass Ratio] in Serum or Plasma
http://loinc.org,2.70,18263-4,Cholesterol in HDL [Mass/volume] in Serum or Plasma ultracentrifugate
http://loinc.org,2.70,2085-9,Cholesterol in HDL [Mass/volume] in Serum or Plasma
http://loinc.org,2.70,26015-8,Cholesterol in HDL 2 [Moles/volume] in Serum or Plasma
http://loinc.org,2.70,26016-6,Cholesterol in HDL 2 [Mass/volume] in Serum or Plasma ultracentrifugate
http://loinc.org,2.70,26017-4,Cholesterol in HDL 3 [Moles/volume] in Serum or Plasma
http://loinc.org,2.70,27340-9,Cholesterol in HDL [Presence] in Serum or Plasma
http://loinc.org,2.70,35197-3,Cholesterol in HDL [Mass or Moles/volume] in Serum or Plasma
http://loinc.org,2.70,35243-5,Cholesterol in HDL 3 [Mass or Moles/volume] in Serum or Plasma
http://loinc.org,2.70,43396-1,Cholesterol non HDL [Mass/volume] in Serum or Plasma
http://loinc.org,2.70,44915-7,Cholesterol in LDL/Cholesterol in HDL [Molar ratio] in Serum or Plasma
http://loinc.org,2.70,47220-9,Cholesterol in HDL 4+5 [Mass/volume] in Serum or Plasma
http://loinc.org,2.70,47221-7,Cholesterol in HDL 1+2 [Mass/volume] in Serum or Plasma
http://loinc.org,2.70,47228-2,Cholesterol non HDL/Cholesterol.total [Mass Ratio] in Serum or Plasma
http://loinc.org,2.70,49130-8,Cholesterol in HDL [Mass/volume] in Serum or Plasma by Electrophoresis
http://loinc.org,2.70,54467-6,Cholesterol in HDL 2a/Cholesterol in total HDL in Serum or Plasma by Electrophoresis
http://loinc.org,2.70,54468-4,Cholesterol in HDL 2b/Cholesterol in total HDL in Serum or Plasma by Electrophoresis
http://loinc.org,2.70,54469-2,Cholesterol in HDL 3a/Cholesterol in total HDL in Serum or Plasma by Electrophoresis
http://loinc.org,2.70,54470-0,Cholesterol in HDL 3b/Cholesterol in total HDL in Serum or Plasma by Electrophoresis
http://loinc.org,2.70,54471-8,Cholesterol in HDL 3c/Cholesterol in total HDL in Serum or Plasma by Electrophoresis
