System,Version,Code,Display
http://loinc.org,2.68,12967-6,Urea nitrogen [Mass/volume] in 24 hour Urine
http://loinc.org,2.68,13506-1,Urea nitrogen renal clearance in Urine and Serum or Plasma
http://loinc.org,2.68,13821-4,Urea nitrogen/Creatinine [Mass Ratio] in 24 hour Urine
http://loinc.org,2.68,14938-5,Urea nitrogen [Moles/volume] in Urine
http://loinc.org,2.68,14939-3,Urea nitrogen [Moles/time] in 24 hour Urine
http://loinc.org,2.68,24465-7,Urea nitrogen [Mass/time] in 12 hour Urine
http://loinc.org,2.68,3095-7,Urea nitrogen [Mass/volume] in Urine
http://loinc.org,2.68,3096-5,Urea nitrogen [Mass/time] in 24 hour Urine
http://loinc.org,2.68,33355-9,Urea nitrogen [Moles/volume] in 24 hour Urine
http://loinc.org,2.68,35657-6,Urea nitrogen/Body weight [Mass/kg/time] in 24 hour Urine
http://loinc.org,2.68,44416-6,Urea nitrogen/Creatinine [Mass Ratio] in Urine
http://loinc.org,2.68,51735-9,Urea nitrogen renal clearance in 24 hour Urine and Serum or Plasma
